"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"India","2022","290542","Alcohols; polyhydric, pentaerythritol","Import","34028793.5","17105503.483","Weight in kilograms","17105503.483"
"India","2022","290543","Alcohols; polyhydric, mannitol","Import","33390671.021","7577190.303","Weight in kilograms","7577190.303"
"India","2022","290543","Alcohols; polyhydric, mannitol","Export","3199799.346","349580.959","Weight in kilograms","349580.959"
"India","2022","290544","Alcohols; polyhydric, d-glucitol (sorbitol)","Export","49874425.597","","No Quantity",""
"India","2022","290544","Alcohols; polyhydric, d-glucitol (sorbitol)","Import","7678706.916","5748274.737","Weight in kilograms","5748274.737"
"India","2022","290545","Alcohols; polyhydric, glycerol","Export","25554123.425","9682659.771","Weight in kilograms","9682659.771"
"India","2022","290545","Alcohols; polyhydric, glycerol","Import","85538568.054","58870706.018","Weight in kilograms","58870706.018"
"India","2022","290549","Alcohols; polyhydric, n.e.c. in item no. 2905.4","Export","4814369.627","","No Quantity",""
"India","2022","290549","Alcohols; polyhydric, n.e.c. in item no. 2905.4","Import","17955389.943","3340679.85","Weight in kilograms","3340679.85"
"India","2022","290559","Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosated derivatives thereof, other than ethchlorvynol (INN)","Export","7424967.951","778001.026","Weight in kilograms","778001.026"
"India","2022","290559","Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosated derivatives thereof, other than ethchlorvynol (INN)","Import","18772957.151","1835494.162","Weight in kilograms","1835494.162"
"India","2022","290611","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, menthol","Export","216612758.966","14339811.01","Weight in kilograms","14339811.01"
"India","2022","290611","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, menthol","Import","45478857.601","3551112.414","Weight in kilograms","3551112.414"
"India","2022","290612","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, cyclohexanol, methylcyclohexanols and dimethylcyclohexanols","Export","426859.972","42076.644","Weight in kilograms","42076.644"
