"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2022","Alcohols; unsaturated monohydric, acyclic terpene alcohols","Import","22281924","","No Quantity",""
"China","2022","Alcohols; unsaturated monohydric, acyclic terpene alcohols","Export","80702848","8595532.363","Weight in kilograms","8595532.363"
"China","2022","Alcohols; acyclic, unsaturated monohydric, (other than acyclic terpene alcohols)","Import","290253609","174594432.607","Weight in kilograms","174594432.607"
"China","2022","Alcohols; acyclic, unsaturated monohydric, (other than acyclic terpene alcohols)","Export","143434685","11923423.672","Weight in kilograms","11923423.672"
"China","2022","Alcohols; acyclic, diols; ethylene glycol (ethanediol)","Import","4502241608","7510692479.175","Weight in kilograms","7510692479.175"
"China","2022","Alcohols; acyclic, diols; ethylene glycol (ethanediol)","Export","29145537","40395040.131","Weight in kilograms","40395040.131"
"China","2022","Alcohols; acyclic, diols; propylene glycol (propane-1, 2-diol)","Import","144744186","64328726.753","Weight in kilograms","64328726.753"
"China","2022","Alcohols; acyclic, diols; propylene glycol (propane-1, 2-diol)","Export","365218191","201346099.617","Weight in kilograms","201346099.617"
"China","2022","Alcohols; acyclic, diols, other than ethylene glycol (ethandiol) or propylene glycol (propane-1,2-diol)","Import","331564879","140034699.467","Weight in kilograms","140034699.467"
"China","2022","Alcohols; acyclic, diols, other than ethylene glycol (ethandiol) or propylene glycol (propane-1,2-diol)","Export","377692056","109787293.163","Weight in kilograms","109787293.163"
"China","2022","Alcohols; polyhydric, 2-ethyl-2- (hydroxymethyl) propane-1,3-diol (trimethylolpropane)","Export","77364434","36671586.474","Weight in kilograms","36671586.474"
"China","2022","Alcohols; polyhydric, 2-ethyl-2- (hydroxymethyl) propane-1,3-diol (trimethylolpropane)","Import","3840334","1230256","Weight in kilograms","1230256"
"China","2022","Alcohols; polyhydric, pentaerythritol","Export","123073927","60000940.488","Weight in kilograms","60000940.488"
"China","2022","Alcohols; polyhydric, pentaerythritol","Import","11861233","6373082.55","Weight in kilograms","6373082.55"
"China","2022","Alcohols; polyhydric, mannitol","Import","10414296","1224429.951","Weight in kilograms","1224429.951"
"China","2022","Alcohols; polyhydric, mannitol","Export","44569331","15294073.549","Weight in kilograms","15294073.549"
"China","2022","Alcohols; polyhydric, d-glucitol (sorbitol)","Export","121279134","148145784.092","Weight in kilograms","148145784.092"
"China","2022","Alcohols; polyhydric, d-glucitol (sorbitol)","Import","3699043","1133571.192","Weight in kilograms","1133571.192"
"China","2022","Alcohols; polyhydric, glycerol","Export","13318834","","No Quantity",""
"China","2022","Alcohols; polyhydric, glycerol","Import","612933540","491519589.935","Weight in kilograms","491519589.935"
"China","2022","Alcohols; polyhydric, n.e.c. in item no. 2905.4","Export","294313210","106241731.776","Weight in kilograms","106241731.776"
"China","2022","Alcohols; polyhydric, n.e.c. in item no. 2905.4","Import","5484441","1212857.006","Weight in kilograms","1212857.006"
"China","2022","Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosated derivatives thereof, other than ethchlorvynol (INN)","Export","146408396","28616036.138","Weight in kilograms","28616036.138"
"China","2022","Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosated derivatives thereof, other than ethchlorvynol (INN)","Import","10128559","1050717.778","Weight in kilograms","1050717.778"
"China","2022","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, menthol","Import","211312927","14933109.997","Weight in kilograms","14933109.997"
"China","2022","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, menthol","Export","98635541","5937807.127","Weight in kilograms","5937807.127"
"China","2022","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, cyclohexanol, methylcyclohexanols and dimethylcyclohexanols","Export","1056826","164741.545","Weight in kilograms","164741.545"
"China","2022","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, cyclohexanol, methylcyclohexanols and dimethylcyclohexanols","Import","309244","7229.208","Weight in kilograms","7229.208"
"China","2022","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, sterols and inositols","Import","22989590","2190558.252","Weight in kilograms","2190558.252"
"China","2022","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, sterols and inositols","Export","180457149","7824888.296","Weight in kilograms","7824888.296"
"China","2022","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, n.e.c. in item no. 2906.1","Import","24461223","2651590.142","Weight in kilograms","2651590.142"
"China","2022","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, n.e.c. in item no. 2906.1","Export","201161716","24705260.752","Weight in kilograms","24705260.752"
"China","2022","Alcohols; aromatic alcohols and derivatives, benzyl alcohol","Export","63536527","25341135.872","Weight in kilograms","25341135.872"
"China","2022","Alcohols; aromatic alcohols and derivatives, benzyl alcohol","Import","4217911","1026245.646","Weight in kilograms","1026245.646"
"China","2022","Alcohols; aromatic and derivatives, other than benzyl alcohol","Export","230104602","15336722.362","Weight in kilograms","15336722.362"
"China","2022","Alcohols; aromatic and derivatives, other than benzyl alcohol","Import","14187893","2446219.238","Weight in kilograms","2446219.238"
"China","2022","Monophenols; phenol (hydroxybenzene) and its salts","Import","525181397","","No Quantity",""
"China","2022","Monophenols; phenol (hydroxybenzene) and its salts","Export","62615749","37508764.151","Weight in kilograms","37508764.151"
"China","2022","Monophenols; cresols and their salts","Import","24084837","4540207.314","Weight in kilograms","4540207.314"
"China","2022","Monophenols; cresols and their salts","Export","60482390","19271885","Weight in kilograms","19271885"
"China","2022","Monophenols; octylphenol, nonylphenol and their isomers, salts thereof","Import","35009372","17826273.755","Weight in kilograms","17826273.755"
"China","2022","Monophenols; octylphenol, nonylphenol and their isomers, salts thereof","Export","1886786","650324.808","Weight in kilograms","650324.808"
"China","2022","Monophenols; naphthols and their salts","Import","328545","53589.645","Weight in kilograms","53589.645"
"China","2022","Monophenols; naphthols and their salts","Export","75278635","26697228.275","Weight in kilograms","26697228.275"
"China","2022","Monophenols; n.e.c. in item no. 2907.1","Export","122881008","29656203.47","Weight in kilograms","29656203.47"
"China","2022","Monophenols; n.e.c. in item no. 2907.1","Import","114908431","38006625.942","Weight in kilograms","38006625.942"
"China","2022","Polyphenols; resorcinol and its salts","Import","17402669","2387679.643","Weight in kilograms","2387679.643"
"China","2022","Polyphenols; resorcinol and its salts","Export","62001656","8817973","Weight in kilograms","8817973"
"China","2022","Polyphenols; hydroquinone (quinol) and its salts","Export","40710321","3753342.766","Weight in kilograms","3753342.766"
"China","2022","Polyphenols; hydroquinone (quinol) and its salts","Import","62724327","6806478.179","Weight in kilograms","6806478.179"
"China","2022","Polyphenols; 4,4'-isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts","Import","792207844","431875762.559","Weight in kilograms","431875762.559"
"China","2022","Polyphenols; 4,4'-isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts","Export","22315682","11763888.959","Weight in kilograms","11763888.959"
"China","2022","Phenol-alcohols and polyphenols n.e.c. in item number 2907.2","Export","72469645","2994686.998","Weight in kilograms","2994686.998"
"China","2022","Phenol-alcohols and polyphenols n.e.c. in item number 2907.2","Import","58669886","19947041.128","Weight in kilograms","19947041.128"
"China","2022","Phenol or phenol-alcohol derivatives containing only halogen substituents and their salts; other than pentachlorophenol (ISO)","Export","55346062","14574662.729","Weight in kilograms","14574662.729"
"China","2022","Phenol or phenol-alcohol derivatives containing only halogen substituents and their salts; other than pentachlorophenol (ISO)","Import","495634598","86288510.486","Weight in kilograms","86288510.486"
"China","2022","Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof; other than dinoseb (ISO), and 4,6-dinitro-o-cresol (DNOC (ISO)), and their salts","Import","4918467","513926.013","Weight in kilograms","513926.013"
"China","2022","Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof; other than dinoseb (ISO), and 4,6-dinitro-o-cresol (DNOC (ISO)), and their salts","Export","43819219","3600150.025","Weight in kilograms","3600150.025"
"China","2022","Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, diethyl ether","Export","1389193","460700","Weight in kilograms","460700"
"China","2022","Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, other than diethyl ether","Export","1820604610","1489594882.485","Weight in kilograms","1489594882.485"
"China","2022","Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, other than diethyl ether","Import","100814805","55605961.201","Weight in kilograms","55605961.201"
"China","2022","Ethers; cyclanic, cyclenic or cycloterpenic and their halogenated, sulphonated, nitrated or nitrosated derivatives","Export","20226370","921198.772","Weight in kilograms","921198.772"
"China","2022","Ethers; cyclanic, cyclenic or cycloterpenic and their halogenated, sulphonated, nitrated or nitrosated derivatives","Import","6954203","509964.147","Weight in kilograms","509964.147"
"China","2022","Ethers; aromatic, and their halogenated, sulphonated, nitrated or nitrosated derivatives","Import","92385686","9488819.07","Weight in kilograms","9488819.07"
"China","2022","Ethers; aromatic, and their halogenated, sulphonated, nitrated or nitrosated derivatives","Export","469590307","30429005.279","Weight in kilograms","30429005.279"
"China","2022","Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; 2,2-oxydiethanol (diethylene glycol, digol)","Export","22907865","21724188.801","Weight in kilograms","21724188.801"
"China","2022","Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; 2,2-oxydiethanol (diethylene glycol, digol)","Import","353899708","541219392.564","Weight in kilograms","541219392.564"
"China","2022","Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; monobutyl ethers of ethylene glycol or of diethylene glycol","Import","272283306","179123494.081","Weight in kilograms","179123494.081"
